,IDComarca,IDMunicipi,Quantitat,Any,NomComarca,NomMunicipi,IDMacrofamilia,NomMacrofamilia
0,6,80446,453.38,2017-01-01,Anoia,Capellades,H,Fruites i verdures fresques
1,6,80446,1727.06,2016-01-01,Anoia,Capellades,H,Fruites i verdures fresques
2,6,80446,683.0799999999999,2015-01-01,Anoia,Capellades,H,Fruites i verdures fresques
3,6,80446,132.0,2017-01-01,Anoia,Capellades,H,Fruites i verdures fresques
4,6,81022,36364.130000000005,2017-01-01,Anoia,Igualada,H,Fruites i verdures fresques
5,6,81022,81786.29999999997,2016-01-01,Anoia,Igualada,H,Fruites i verdures fresques
6,6,81022,79142.40999999996,2015-01-01,Anoia,Igualada,H,Fruites i verdures fresques
7,6,81022,41413.460000000036,2014-01-01,Anoia,Igualada,H,Fruites i verdures fresques
8,6,81022,39451.340000000004,2013-01-01,Anoia,Igualada,H,Fruites i verdures fresques
9,6,81022,15438.2,2012-01-01,Anoia,Igualada,H,Fruites i verdures fresques
10,6,81022,7894.039999999998,2011-01-01,Anoia,Igualada,H,Fruites i verdures fresques
11,6,81022,5191.120000000001,2010-01-01,Anoia,Igualada,H,Fruites i verdures fresques
12,6,81022,96.0,2009-01-01,Anoia,Igualada,H,Fruites i verdures fresques
13,6,81022,15.0,2008-01-01,Anoia,Igualada,H,Fruites i verdures fresques
14,6,81022,252.0,2007-01-01,Anoia,Igualada,H,Fruites i verdures fresques
15,6,81022,23797.1,2017-01-01,Anoia,Igualada,H,Fruites i verdures fresques
16,6,81653,359.9,2017-01-01,Anoia,la Pobla de Claramunt,H,Fruites i verdures fresques
17,6,81653,556.0,2016-01-01,Anoia,la Pobla de Claramunt,H,Fruites i verdures fresques
18,6,81653,51.0,2014-01-01,Anoia,la Pobla de Claramunt,H,Fruites i verdures fresques
19,6,81653,87.5,2013-01-01,Anoia,la Pobla de Claramunt,H,Fruites i verdures fresques
20,6,81653,90.0,2017-01-01,Anoia,la Pobla de Claramunt,H,Fruites i verdures fresques
21,6,82861,36.0,2012-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
22,6,82861,556.64,2011-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
23,6,82861,912.02,2010-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
24,6,82861,298.0,2009-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
25,6,82861,2166.0,2008-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
26,6,82861,5396.5,2007-01-01,Anoia,la Torre de Claramunt,H,Fruites i verdures fresques
27,6,81192,115.0,2016-01-01,Anoia,Masquefa,H,Fruites i verdures fresques
28,6,81192,611.2,2015-01-01,Anoia,Masquefa,H,Fruites i verdures fresques
29,6,81192,939.0,2017-01-01,Anoia,Masquefa,H,Fruites i verdures fresques
30,6,81430,1280.0,2017-01-01,Anoia,Òdena,H,Fruites i verdures fresques
31,6,81614,21009.88999999999,2017-01-01,Anoia,Piera,H,Fruites i verdures fresques
32,6,81614,61434.46000000001,2016-01-01,Anoia,Piera,H,Fruites i verdures fresques
33,6,81614,65428.78000000002,2015-01-01,Anoia,Piera,H,Fruites i verdures fresques
34,6,81614,72738.18999999994,2014-01-01,Anoia,Piera,H,Fruites i verdures fresques
35,6,81614,38338.74000000001,2013-01-01,Anoia,Piera,H,Fruites i verdures fresques
36,6,81614,27284.660000000007,2012-01-01,Anoia,Piera,H,Fruites i verdures fresques
37,6,81614,23398.039999999997,2011-01-01,Anoia,Piera,H,Fruites i verdures fresques
38,6,81614,22939.250000000004,2010-01-01,Anoia,Piera,H,Fruites i verdures fresques
39,6,81614,11046.539999999999,2009-01-01,Anoia,Piera,H,Fruites i verdures fresques
40,6,81614,21648.472,2017-01-01,Anoia,Piera,H,Fruites i verdures fresques
41,6,82508,7529.4,2017-01-01,Anoia,Santa Margarida de Montbui,H,Fruites i verdures fresques
42,6,82508,8111.0,2017-01-01,Anoia,Santa Margarida de Montbui,H,Fruites i verdures fresques
43,6,82922,155.0,2017-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
44,6,82922,663.0,2016-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
45,6,82922,981.9399999999999,2015-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
46,6,82922,293.0,2014-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
47,6,82922,365.3,2013-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
48,6,82922,1133.6100000000001,2012-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
49,6,82922,486.0,2011-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
50,6,82922,360.55,2010-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
51,6,82922,372.0,2017-01-01,Anoia,Vallbona d'Anoia,H,Fruites i verdures fresques
52,6,83020,1110.95,2017-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
53,6,83020,1216.18,2016-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
54,6,83020,1264.54,2015-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
55,6,83020,3150.19,2014-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
56,6,83020,3074.9199999999996,2013-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
57,6,83020,3133.26,2012-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
58,6,83020,928.25,2011-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
59,6,83020,360.0,2009-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
60,6,83020,26.0,2007-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
61,6,83020,604.0,2017-01-01,Anoia,Vilanova del Camí,H,Fruites i verdures fresques
62,7,80538,30.0,2007-01-01,Bages,Castellbell i el Vilar,H,Fruites i verdures fresques
63,7,82628,50.0,2010-01-01,Bages,Sant Vicenç de Castellet,H,Fruites i verdures fresques
64,7,82628,33.63,2011-01-01,Bages,Sant Vicenç de Castellet,H,Fruites i verdures fresques
